Country,Date,DailyRevenue,UniqueCustomers,Transactions,TotalQuantity
EIRE,2011-06-16,1012.86,1,1,268
EIRE,2011-06-17,626.13,1,1,356
EIRE,2011-06-19,303.3,1,1,84
EIRE,2011-06-20,0.0,0,3,0
EIRE,2011-06-21,-967.44,1,3,-516
EIRE,2011-06-22,1019.1999999999999,2,2,590
EIRE,2011-06-23,366.6,1,4,186
EIRE,2011-06-24,1542.51,1,5,876
EIRE,2011-06-27,816.32,1,2,393
EIRE,2011-06-29,3738.9900000000002,2,3,2566
EIRE,2011-06-30,756.36,1,1,394
EIRE,2011-07-01,1794.18,3,3,798
EIRE,2011-07-04,1170.8,0,3,537
EIRE,2011-07-05,205.60000000000002,1,1,21
EIRE,2011-07-08,-12.75,1,1,-1
EIRE,2011-07-14,1796.17,2,3,864
EIRE,2011-07-18,1077.53,1,2,1377
EIRE,2011-07-19,13566.39,2,5,7238
EIRE,2011-07-21,1338.29,1,3,645
EIRE,2011-07-26,384.47,1,2,246
EIRE,2011-07-27,764.51,1,2,657
EIRE,2011-07-28,5406.15,1,3,2799
EIRE,2011-07-29,728.94,1,1,286
EIRE,2011-07-31,14520.369999999999,2,2,6656
EIRE,2011-08-04,-6.927791673660977e-14,1,2,0
EIRE,2011-08-05,1572.73,1,1,744
EIRE,2011-08-08,820.0600000000001,1,2,601
EIRE,2011-08-10,131.8699999999999,1,2,390
EIRE,2011-08-11,1672.4,1,2,1427
EIRE,2011-08-12,2165.63,1,2,1045
EIRE,2011-08-14,-434.51,1,1,-1
EIRE,2011-08-15,467.42,1,1,580
EIRE,2011-08-16,-63.94,1,1,-15
EIRE,2011-08-17,2198.04,1,3,843
EIRE,2011-08-18,49.93000000000001,1,2,-5
EIRE,2011-08-19,989.49,1,1,644
EIRE,2011-08-21,458.9,1,1,148
EIRE,2011-08-23,809.52,1,3,734
EIRE,2011-08-26,1452.16,1,2,849
EIRE,2011-08-30,-132.23,1,2,-87
EIRE,2011-09-01,3880.56,1,2,2184
EIRE,2011-09-02,749.13,1,1,163
EIRE,2011-09-04,629.04,1,1,1272
EIRE,2011-09-05,8343.86,1,4,5391
EIRE,2011-09-06,4234.1900000000005,1,2,1285
EIRE,2011-09-07,3415.29,2,4,1877
EIRE,2011-09-08,2091.06,0,2,950
EIRE,2011-09-09,-89.65,1,2,-15
EIRE,2011-09-14,744.91,1,3,726
EIRE,2011-09-15,678.83,1,3,309
EIRE,2011-09-19,644.33,1,2,165
EIRE,2011-09-20,1755.69,1,3,943
EIRE,2011-09-21,381.22,1,1,94
EIRE,2011-09-22,1254.42,1,3,808
EIRE,2011-09-23,3498.75,1,3,1958
EIRE,2011-09-26,1156.14,1,2,480
EIRE,2011-09-27,772.95,1,2,199
EIRE,2011-09-28,2334.4900000000002,1,6,1026
EIRE,2011-09-30,6163.84,2,5,3100
EIRE,2011-10-06,421.3,1,1,229
EIRE,2011-10-07,904.14,1,1,448
EIRE,2011-10-10,3160.78,2,4,1000
EIRE,2011-10-11,1575.79,1,3,2206
EIRE,2011-10-12,1422.76,2,7,816
EIRE,2011-10-14,406.84,1,1,353
EIRE,2011-10-17,5449.12,2,7,2621
EIRE,2011-10-18,1512.17,2,2,625
EIRE,2011-10-19,1588.75,1,1,711
EIRE,2011-10-20,3566.45,1,3,4932
EIRE,2011-10-21,1680.03,2,2,901
EIRE,2011-10-24,618.82,2,2,189
EIRE,2011-10-27,-97.89999999999999,1,1,-12
EIRE,2011-10-30,501.65999999999997,1,1,185
EIRE,2011-10-31,596.9100000000001,1,1,392
EIRE,2011-11-01,2047.05,1,2,894
EIRE,2011-11-02,-16.75,1,1,-2
EIRE,2011-11-04,-100.36000000000001,1,2,-28
EIRE,2011-11-07,1157.33,2,4,768
EIRE,2011-11-08,-37.09,2,3,-15
EIRE,2011-11-09,810.14,1,2,578
EIRE,2011-11-10,1003.03,1,1,496
EIRE,2011-11-11,2506.77,2,3,1252
EIRE,2011-11-13,4454.44,1,4,2643
EIRE,2011-11-14,348.21000000000004,1,1,206
EIRE,2011-11-15,2246.31,2,5,1206
EIRE,2011-11-16,4906.29,2,3,3082
EIRE,2011-11-17,1602.42,1,2,631
EIRE,2011-11-18,683.01,2,3,263
EIRE,2011-11-20,917.54,1,1,440
EIRE,2011-11-21,900.6,1,2,626
EIRE,2011-11-22,2032.32,1,4,1474
EIRE,2011-11-23,147.48000000000002,2,2,51
EIRE,2011-11-24,207.14000000000001,1,1,143
EIRE,2011-11-25,293.78999999999996,1,1,92
EIRE,2011-11-27,829.91,1,1,225
EIRE,2011-11-28,1878.83,1,2,945
EIRE,2011-11-30,1594.64,2,3,587
EIRE,2011-12-01,1021.07,1,5,562
EIRE,2011-12-04,773.54,1,1,534
EIRE,2011-12-05,587.4,1,2,219
EIRE,2011-12-07,3856.89,1,3,1998
EIRE,2011-12-08,1084.14,1,1,806
France,2010-12-01,855.86,1,1,449
France,2010-12-03,425.38,2,2,239
France,2010-12-05,1526.92,1,1,611
France,2010-12-07,1448.98,2,2,752
France,2010-12-08,173.55,1,1,121
France,2010-12-09,1832.58,4,5,1012
France,2010-12-10,1071.9,1,1,418
France,2010-12-15,195.89,1,1,134
France,2010-12-16,-8.850000000000001,1,3,-3
France,2010-12-17,350.28000000000003,2,2,398
France,2010-12-20,1371.19,2,2,733
France,2010-12-21,221.28,1,2,26
France,2010-12-22,110.39999999999999,1,1,88
France,2011-01-05,1369.28,4,4,733
France,2011-01-06,745.02,2,3,440
France,2011-01-07,1065.09,2,2,596
France,2011-01-09,114.0,1,1,78
France,2011-01-10,1238.06,1,1,635
France,2011-01-11,1512.6399999999999,4,4,988
France,2011-01-12,1405.68,4,4,681
France,2011-01-14,1790.43,3,3,1072
France,2011-01-17,732.14,1,1,268
France,2011-01-19,752.75,1,1,386
France,2011-01-20,1472.88,2,2,704
France,2011-01-21,-5.45,1,1,-3
France,2011-01-23,514.5,1,1,126
France,2011-01-24,190.2,1,1,84
France,2011-01-25,3.450000000000003,3,3,-15
France,2011-01-27,-14.65,1,1,-9
France,2011-01-28,1079.83,3,3,574
France,2011-01-31,3537.2200000000003,3,3,1817
France,2011-02-01,510.84999999999997,1,1,200
France,2011-02-02,641.39,2,2,368
France,2011-02-04,1236.73,1,1,617
France,2011-02-08,201.86,1,1,216
France,2011-02-09,455.02,1,1,301
France,2011-02-10,321.56,1,1,454
France,2011-02-14,-6.3,1,1,-15
France,2011-02-15,237.6,2,2,97
France,2011-02-16,901.66,1,2,776
France,2011-02-17,250.0,1,1,116
France,2011-02-18,964.4,2,3,756
France,2011-02-21,746.82,2,2,334
France,2011-02-22,-24.55,2,2,-10
France,2011-02-23,439.76,1,2,362
France,2011-02-27,110.6,1,1,71
France,2011-02-28,1451.51,4,4,658
France,2011-03-01,1146.26,2,2,580
France,2011-03-03,573.16,1,2,342
France,2011-03-04,317.25,1,1,125
France,2011-03-07,-20.4,1,1,-24
France,2011-03-08,-37.25,1,1,-15
France,2011-03-11,712.8499999999999,1,1,325
France,2011-03-13,343.29,1,1,185
France,2011-03-14,479.40000000000003,1,1,187
France,2011-03-15,550.54,2,2,305
France,2011-03-16,262.8,2,2,160
France,2011-03-20,316.02,1,1,423
France,2011-03-21,205.87,1,2,90
France,2011-03-22,523.98,1,1,201
France,2011-03-23,1891.28,3,4,1233
France,2011-03-25,357.90999999999997,1,1,264
France,2011-03-27,164.05,1,1,61
France,2011-03-28,1136.3,1,1,848
France,2011-03-31,5593.59,2,3,3349
France,2011-04-01,382.8,3,3,327
France,2011-04-04,719.55,2,2,298
France,2011-04-05,0.0,1,2,0
France,2011-04-07,366.2,1,1,239
France,2011-04-11,-38.25,1,1,-3
France,2011-04-14,615.2,1,2,284
France,2011-04-17,630.22,2,2,402
France,2011-04-18,-86.0,1,1,-61
France,2011-04-20,541.2,1,1,200
France,2011-04-21,706.55,2,2,301
France,2011-04-26,160.54000000000002,1,1,84
France,2011-04-27,-11.9,1,1,-2
France,2011-04-28,209.10000000000002,1,1,147
France,2011-05-03,1823.34,3,6,1046
France,2011-05-05,236.0,1,1,100
France,2011-05-08,1056.43,1,2,777
France,2011-05-09,537.9,3,3,495
France,2011-05-10,489.1,1,1,460
France,2011-05-11,3018.73,2,2,1593
France,2011-05-12,296.53,1,1,106
France,2011-05-13,1000.51,3,3,505
France,2011-05-15,151.4,1,1,141
France,2011-05-16,756.62,3,3,283
France,2011-05-17,793.62,1,1,479
France,2011-05-18,869.53,3,3,334
France,2011-05-19,914.51,2,2,562
France,2011-05-20,1100.55,2,2,470
France,2011-05-22,910.71,2,2,298
France,2011-05-23,421.96,1,1,306
France,2011-05-24,393.34,1,1,210
France,2011-05-25,1280.82,3,3,742
France,2011-05-26,630.5,2,2,514
France,2011-05-27,403.09000000000003,1,1,157
France,2011-05-31,441.89,2,2,202
France,2011-06-05,3442.5099999999998,3,3,1909
France,2011-06-06,371.45,1,1,115
France,2011-06-08,1311.74,3,5,1128
France,2011-06-09,1030.59,2,2,787
France,2011-06-10,480.0,1,1,164
France,2011-06-12,360.18,1,1,716
France,2011-06-13,2399.62,3,3,904
France,2011-06-15,1856.11,3,5,1007
France,2011-06-16,510.27,1,1,270
France,2011-06-17,1319.3799999999999,2,2,490
France,2011-06-19,125.46000000000001,1,1,63
France,2011-06-20,734.5600000000001,2,2,262
France,2011-06-21,257.3,1,1,351
France,2011-06-22,852.44,2,2,658
France,2011-06-24,634.74,1,1,413
France,2011-06-27,201.24,1,1,119
France,2011-06-28,134.28,1,1,109
France,2011-06-30,-30.0,1,1,-24
France,2011-07-01,451.86,2,2,364
France,2011-07-04,474.36,1,1,259
France,2011-07-05,644.45,2,2,319
France,2011-07-06,1056.62,1,1,597
France,2011-07-08,1193.25,3,3,662
France,2011-07-11,611.08,2,2,290
France,2011-07-12,1223.85,3,4,616
France,2011-07-13,915.46,1,1,667
France,2011-07-17,150.1,1,1,47
France,2011-07-18,1866.08,2,2,921
France,2011-07-19,99.6,1,1,33
France,2011-07-21,-46.65,1,1,-3
France,2011-07-24,412.93,1,1,236
France,2011-07-27,204.75,1,1,148
France,2011-07-28,-46.65,1,1,-3
France,2011-07-29,677.9,1,1,503
France,2011-08-02,85.8,1,1,52
France,2011-08-03,1202.22,1,1,699
France,2011-08-04,511.03,1,1,281
France,2011-08-05,830.3000000000001,2,2,486
France,2011-08-10,248.35,1,1,197
France,2011-08-12,391.18,2,2,170
France,2011-08-14,46.65,1,1,3
France,2011-08-15,1161.07,1,1,607
France,2011-08-17,580.08,1,1,400
France,2011-08-18,764.79,2,2,463
France,2011-08-19,612.29,1,1,462
France,2011-08-21,528.77,2,2,270
France,2011-08-23,947.36,2,2,460
France,2011-08-24,428.91,2,2,246
France,2011-08-25,2169.21,4,4,1314
France,2011-08-26,1130.95,1,1,694
France,2011-08-31,2150.3,3,4,1144
France,2011-09-02,942.76,2,3,427
France,2011-09-04,891.8199999999999,1,1,509
France,2011-09-05,879.53,3,3,279
France,2011-09-07,2889.7599999999998,3,3,1637
France,2011-09-08,1461.49,2,2,860
France,2011-09-09,2074.8,3,3,1116
France,2011-09-11,112.38,1,1,43
France,2011-09-13,94.32000000000001,1,1,73
France,2011-09-14,357.32,1,1,438
France,2011-09-15,2656.31,4,4,1228
France,2011-09-16,-25.5,1,1,-6
France,2011-09-19,2035.05,4,4,847
France,2011-09-20,377.66,1,1,306
France,2011-09-21,1083.76,4,4,821
France,2011-09-22,1661.7,4,5,1203
France,2011-09-23,790.54,1,1,479
France,2011-09-25,775.99,2,2,281
France,2011-09-26,-15.2,1,1,-14
France,2011-09-27,164.04999999999998,3,3,54
France,2011-09-28,644.75,1,1,268
France,2011-09-29,1395.68,4,4,992
France,2011-09-30,1949.8999999999999,3,3,1071
France,2011-10-03,358.4,1,1,158
France,2011-10-04,357.3,2,2,115
France,2011-10-05,2059.2,3,4,1242
France,2011-10-06,145.2,2,2,25
France,2011-10-07,675.36,2,2,527
France,2011-10-10,410.08,2,3,211
France,2011-10-11,4242.86,2,2,2788
France,2011-10-12,1360.29,5,5,656
France,2011-10-13,331.72,1,1,124
France,2011-10-14,452.76,2,2,198
France,2011-10-17,-3.18,1,1,-3
France,2011-10-18,-2.12,1,2,-2
France,2011-10-19,2792.96,2,2,733
France,2011-10-20,1056.9,1,1,530
France,2011-10-27,1103.79,4,7,564
France,2011-10-28,8990.46,2,3,5246
France,2011-10-30,214.74,1,1,209
France,2011-10-31,485.32,2,2,416
France,2011-11-01,1829.81,4,4,1031
France,2011-11-02,633.44,1,1,291
France,2011-11-03,1567.38,4,5,1010
France,2011-11-04,399.51,1,3,332
France,2011-11-07,288.67,0,1,292
France,2011-11-08,1380.27,3,3,868
France,2011-11-09,1068.82,2,2,499
France,2011-11-10,2128.03,6,7,1347
France,2011-11-11,2358.91,5,6,1836
France,2011-11-13,123.08,1,1,69
France,2011-11-14,1666.42,3,3,894
France,2011-11-15,809.22,2,2,481
France,2011-11-16,1575.28,2,2,687
France,2011-11-17,3254.12,4,5,1605
France,2011-11-18,1072.68,3,3,550
France,2011-11-20,838.71,2,2,298
France,2011-11-21,397.72,1,1,271
France,2011-11-22,943.63,2,2,361
France,2011-11-23,348.38,1,2,219
France,2011-11-24,1982.67,2,3,599
France,2011-11-25,1206.31,3,4,825
France,2011-11-28,733.27,3,5,516
France,2011-11-29,1339.12,2,2,645
France,2011-11-30,2752.06,7,7,1560
France,2011-12-01,931.39,2,2,492
France,2011-12-02,1370.36,4,5,649
France,2011-12-04,1031.89,3,3,542
France,2011-12-05,797.48,1,2,477
France,2011-12-06,1403.94,4,4,787
France,2011-12-07,1117.6200000000001,2,2,561
France,2011-12-08,146.70000000000002,2,2,18
France,2011-12-09,249.45,1,1,105
Germany,2010-12-01,139.18,2,2,117
Germany,2010-12-02,138.35,2,2,146
Germany,2010-12-03,555.53,3,3,170
Germany,2010-12-05,2476.69,3,4,1362
Germany,2010-12-06,162.44,2,2,85
Germany,2010-12-07,596.8,1,1,155
Germany,2010-12-08,509.95000000000005,2,2,136
Germany,2010-12-09,891.79,5,5,380
Germany,2010-12-10,2360.41,1,2,1096
Germany,2010-12-13,-12.45,1,3,-2
Germany,2010-12-15,-52.9,1,1,-12
Germany,2010-12-16,-11.549999999999999,1,1,-7
Germany,2010-12-17,4672.82,7,9,1657
Germany,2010-12-19,469.87,1,1,337
Germany,2010-12-20,331.31,2,2,177
Germany,2010-12-23,1334.6,3,3,926
Germany,2011-01-05,-148.54,2,2,-56
Germany,2011-01-06,-6.6,1,1,-4
Germany,2011-01-07,3976.13,4,4,2658
Germany,2011-01-10,660.43,3,3,633
Germany,2011-01-11,144.26,1,1,87
Germany,2011-01-12,249.4,2,2,96
Germany,2011-01-13,753.4499999999999,1,1,100
Germany,2011-01-14,534.02,2,3,248
Germany,2011-01-17,1316.9,2,2,583
Germany,2011-01-18,132.52,1,1,113
Germany,2011-01-19,63.0,1,1,37
Germany,2011-01-21,-62.25000000000001,1,1,-19
Germany,2011-01-24,2364.78,3,3,1203
Germany,2011-01-25,2372.14,4,4,1135
Germany,2011-01-26,1175.76,2,2,692
Germany,2011-01-27,673.53,4,4,392
Germany,2011-01-28,-79.71000000000001,1,1,-61
Germany,2011-01-31,2332.21,4,4,1069
Germany,2011-02-01,264.65000000000003,3,3,44
Germany,2011-02-02,50.10000000000001,1,2,34
Germany,2011-02-03,1642.54,4,4,434
Germany,2011-02-04,-71.9,1,1,-7
Germany,2011-02-07,-94.93,1,1,-41
Germany,2011-02-08,-125.92999999999999,3,3,-34
Germany,2011-02-09,168.9,1,1,160
Germany,2011-02-10,351.95,2,2,228
Germany,2011-02-11,2231.15,2,2,620
Germany,2011-02-14,769.74,2,3,454
Germany,2011-02-17,540.58,2,2,380
Germany,2011-02-18,152.4,1,1,108
Germany,2011-02-21,1401.29,3,3,789
Germany,2011-02-23,388.3,1,1,201
Germany,2011-02-25,1300.4,2,2,713
Germany,2011-03-01,762.5,1,1,384
Germany,2011-03-03,725.28,2,2,536
Germany,2011-03-07,817.56,3,3,358
Germany,2011-03-08,884.63,3,3,437
Germany,2011-03-11,973.17,2,2,611
Germany,2011-03-14,-44.85,1,1,-7
Germany,2011-03-16,300.7,1,1,50
Germany,2011-03-17,1311.45,3,3,754
Germany,2011-03-18,2390.93,4,5,1252
Germany,2011-03-20,363.93,2,2,114
Germany,2011-03-22,1319.98,2,3,976
Germany,2011-03-24,-45.15,2,3,-13
Germany,2011-03-25,2645.14,4,4,1132
Germany,2011-03-27,-3.75,1,1,-3
Germany,2011-03-28,1087.47,3,4,848
Germany,2011-03-30,364.05,2,2,153
Germany,2011-03-31,316.98,2,2,93
Germany,2011-04-01,348.68,1,1,115
Germany,2011-04-04,674.29,1,2,390
Germany,2011-04-05,-56.349999999999994,2,2,-31
Germany,2011-04-06,-5.46,1,1,-14
Germany,2011-04-07,415.7,1,1,238
Germany,2011-04-08,1666.6,3,3,842
Germany,2011-04-11,630.3199999999999,2,2,464
Germany,2011-04-14,3439.06,6,7,1207
Germany,2011-04-18,0.0,1,2,0
Germany,2011-04-19,2590.9,4,4,1497
Germany,2011-04-20,417.6,1,1,232
Germany,2011-04-21,382.6,2,2,215
Germany,2011-04-26,-37.25,1,1,-16
Germany,2011-04-27,1209.8,1,1,468
Germany,2011-04-28,286.88,1,1,85
Germany,2011-05-01,1094.33,1,1,647
Germany,2011-05-03,-13.100000000000001,1,1,-8
Germany,2011-05-04,822.74,3,4,506
Germany,2011-05-05,440.38,2,2,69
Germany,2011-05-06,240.98,2,2,222
Germany,2011-05-09,624.48,2,2,372
Germany,2011-05-10,797.05,2,2,313
