country,month_year,monthly_revenue,unique_customers,unique_invoices,avg_views
Netherlands,2018-10,754.57,4,18,10.65948275862069
Netherlands,2018-11,1156.57,7,20,8.0
Netherlands,2018-12,0.0,1,2,8.157142857142857
Netherlands,2019-01,0.0,3,7,11.041322314049587
Netherlands,2019-02,382.53,1,5,11.696629213483146
Netherlands,2019-03,549.47,4,8,11.867724867724867
Netherlands,2019-04,54.93,1,3,14.166666666666666
Netherlands,2019-05,787.63,4,14,10.67578125
Netherlands,2019-06,691.23,4,9,9.105633802816902
Netherlands,2019-07,26.02,1,1,1.0
Norway,2017-12,0.0,1,1,8.333333333333334
Norway,2018-03,33628.55,1,5,2.2
Norway,2018-08,154.8,1,2,13.555555555555555
Norway,2018-09,139.74,1,1,9.39622641509434
Norway,2018-10,65.76,1,1,11.368421052631579
Norway,2018-11,455.23,2,4,11.066115702479339
Norway,2018-12,0.0,1,1,11.608108108108109
Norway,2019-01,0.0,1,1,10.352941176470589
Norway,2019-02,1810.0,1,5,5.038461538461538
Norway,2019-03,90.07000000000001,1,3,6.363636363636363
Norway,2019-06,1521.0700000000002,2,4,8.168674698795181
Norway,2019-07,168.63,1,1,9.061224489795919
Portugal,2017-11,208.75,1,1,9.759493670886076
Portugal,2017-12,0.0,1,1,6.368421052631579
Portugal,2018-01,0.0,3,4,7.5
Portugal,2018-02,289.90999999999997,3,3,6.076923076923077
Portugal,2018-03,171.94,2,4,10.119402985074627
Portugal,2018-04,11.78,1,2,3.1666666666666665
Portugal,2018-05,186.17,2,3,5.264705882352941
Portugal,2018-06,621.63,5,5,7.512820512820513
Portugal,2018-07,96.85,1,1,4.5
Portugal,2018-08,167.79,3,4,7.473684210526316
Portugal,2018-09,398.82,4,7,7.529801324503311
Portugal,2018-10,556.99,7,9,8.881720430107526
Portugal,2018-11,816.86,5,10,5.724770642201835
Portugal,2018-12,0.0,5,7,7.661290322580645
Portugal,2019-01,0.0,4,5,9.524590163934427
Portugal,2019-02,216.98,2,2,7.894736842105263
Portugal,2019-03,334.88,4,5,9.324561403508772
Portugal,2019-04,214.86,2,2,8.935064935064934
Portugal,2019-05,7377.82,1,10,3.611764705882353
Portugal,2019-06,170.73,3,4,7.979591836734694
Portugal,2019-07,201.46,3,4,10.488888888888889
Singapore,2018-04,152.76,1,1,8.305555555555555
Singapore,2018-09,219.75,1,3,10.012345679012345
Singapore,2019-01,0.0,1,1,10.035714285714286
Singapore,2019-04,12309.61,1,5,8.919354838709678
Singapore,2019-07,230.46,1,1,10.893333333333333
United Kingdom,2017-11,39445.59,293,423,4.604669089307345
United Kingdom,2017-12,0.0,825,1775,4.439661297963051
United Kingdom,2018-01,0.0,776,1748,4.655580147348634
United Kingdom,2018-02,103386.264,761,1851,5.02538603406502
United Kingdom,2018-03,211490.981,990,2000,4.999667516347113
United Kingdom,2018-04,156800.491,907,1686,5.233425729659221
United Kingdom,2018-05,136435.36,1046,2439,5.075251120821747
United Kingdom,2018-06,217849.5,1002,2002,4.9624940875323444
United Kingdom,2018-07,135492.2,921,1908,5.205331731073303
United Kingdom,2018-08,135892.28,904,1780,5.48917862655588
United Kingdom,2018-09,204623.941,1080,2074,5.613317267393127
United Kingdom,2018-10,281942.87,1482,2951,5.251277969399487
United Kingdom,2018-11,313246.222,1562,3366,4.6603520119410415
United Kingdom,2018-12,0.0,739,1493,4.147981589392788
United Kingdom,2019-01,0.0,765,1516,4.577566571998988
United Kingdom,2019-02,116808.97,718,1264,5.003699533537076
United Kingdom,2019-03,138856.41,889,1729,4.958370844069164
United Kingdom,2019-04,130373.041,808,1636,5.211173665148635
United Kingdom,2019-05,156283.74,1009,2022,5.250105666544563
United Kingdom,2019-06,169493.0,902,1735,5.044349529528887
United Kingdom,2019-07,177961.861,932,1855,5.080804368371312
